"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","EVAP"
"USC00411880","COLETO CREEK RESERVOIR, TX US","28.71556","-97.17417","36.0","2005-08-01","5.6"
"USC00411880","COLETO CREEK RESERVOIR, TX US","28.71556","-97.17417","36.0","2005-08-02","5.3"
"USC00411880","COLETO CREEK RESERVOIR, TX US","28.71556","-97.17417","36.0","2005-08-03","5.3"
"USC00411880","COLETO CREEK RESERVOIR, TX US","28.71556","-97.17417","36.0","2005-08-04","4.8"
"USC00411880","COLETO CREEK RESERVOIR, TX US","28.71556","-97.17417","36.0","2005-08-05","5.1"
"USC00411880","COLETO CREEK RESERVOIR, TX US","28.71556","-97.17417","36.0","2005-08-06","2.0"
"USC00411880","COLETO CREEK RESERVOIR, TX US","28.71556","-97.17417","36.0","2005-08-07","5.3"
"USC00411880","COLETO CREEK RESERVOIR, TX US","28.71556","-97.17417","36.0","2005-08-08","4.6"
"USC00411880","COLETO CREEK RESERVOIR, TX US","28.71556","-97.17417","36.0","2005-08-09","5.3"
"USC00411880","COLETO CREEK RESERVOIR, TX US","28.71556","-97.17417","36.0","2005-08-10","5.3"
"USC00411880","COLETO CREEK RESERVOIR, TX US","28.71556","-97.17417","36.0","2005-08-11","6.1"
"USC00411880","COLETO CREEK RESERVOIR, TX US","28.71556","-97.17417","36.0","2005-08-12","6.4"
"USC00411880","COLETO CREEK RESERVOIR, TX US","28.71556","-97.17417","36.0","2005-08-13","5.8"
"USC00411880","COLETO CREEK RESERVOIR, TX US","28.71556","-97.17417","36.0","2005-08-14","5.3"
"USC00411880","COLETO CREEK RESERVOIR, TX US","28.71556","-97.17417","36.0","2005-08-15","6.1"
"USC00411880","COLETO CREEK RESERVOIR, TX US","28.71556","-97.17417","36.0","2005-08-16","3.0"
"USC00411880","COLETO CREEK RESERVOIR, TX US","28.71556","-97.17417","36.0","2005-08-17","4.8"
"USC00411880","COLETO CREEK RESERVOIR, TX US","28.71556","-97.17417","36.0","2005-08-18","14.7"
"USC00411880","COLETO CREEK RESERVOIR, TX US","28.71556","-97.17417","36.0","2005-08-19","5.8"
"USC00411880","COLETO CREEK RESERVOIR, TX US","28.71556","-97.17417","36.0","2005-08-20","5.6"
"USC00411880","COLETO CREEK RESERVOIR, TX US","28.71556","-97.17417","36.0","2005-08-21","5.1"
"USC00411880","COLETO CREEK RESERVOIR, TX US","28.71556","-97.17417","36.0","2005-08-22","4.6"
"USC00411880","COLETO CREEK RESERVOIR, TX US","28.71556","-97.17417","36.0","2005-08-23","5.1"
"USC00411880","COLETO CREEK RESERVOIR, TX US","28.71556","-97.17417","36.0","2005-08-24","5.1"
"USC00411880","COLETO CREEK RESERVOIR, TX US","28.71556","-97.17417","36.0","2005-08-25","5.3"
"USC00411880","COLETO CREEK RESERVOIR, TX US","28.71556","-97.17417","36.0","2005-08-26","3.8"
